bulan,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,target
Januari,110.464,16.134,15.061,10.086,4.324,17.004,4.366,3.892,48.172,9.049,6.793,10.347,24.147,38.870,306.721
Februari,110.270,15.725,15.090,9.043,4.278,16.238,4.281,3.957,43.024,8.700,6.528,10.085,20.519,38.983,275.881
Maret,89.449,15.607,14.927,7.804,4.271,12.859,2.995,3.474,41.188,8.243,6.139,10.016,21.335,37.574,290.398
April,87.470,16.376,14.625,8.968,4.751,16.723,3.211,3.393,44.320,8.773,6.761,11.189,24.381,39.457,290.315
Mei,90.941,15.286,14.961,8.272,4.566,16.281,3.146,3.259,43.614,8.722,6.936,10.723,24.976,38.632,317.350
Juni,98.152,15.938,15.730,10.656,4.558,18.863,3.028,4.245,49.484,8.612,7.092,12.304,25.954,42.734,290.564
Juli,90.731,16.015,15.941,10.220,4.680,14.539,3.612,3.331,41.577,8.488,6.755,10.552,25.350,38.773,350.254
Agustus,97.806,16.475,15.853,10.429,4.039,15.370,3.950,3.212,44.833,8.357,7.490,11.584,25.666,40.190,314.260
September,95.682,16.144,17.062,12.647,3.798,16.200,4.986,3.764,47.182,8.153,7.257,11.679,25.693,44.013,328.239
Oktober,101.491,17.236,20.216,12.932,3.781,16.892,6.367,5.750,46.953,9.830,8.663,11.421,27.861,38.846,339.407
November,102.852,16.370,21.486,14.520,2.854,15.092,6.860,5.613,51.509,9.306,8.810,12.480,27.649,44.006,367.737
Desember,137.293,15.928,19.853,14.113,2.907,15.224,6.294,5.924,44.761,9.785,8.528,11.616,29.656,45.855,401.164
Januari,171.307,15.437,20.869,13.905,3.675,13.630,7.024,5.730,49.187,9.664,8.394,11.192,27.424,43.726,305.343
Februari,83.015,15.724,21.536,13.540,4.435,15.061,5.717,5.665,45.391,9.612,8.030,10.596,24.084,42.937,295.028
Maret,79.146,15.331,21.220,11.865,4.247,14.459,4.851,5.547,46.398,9.776,7.847,10.410,24.595,39.336,314.759
April,94.000,16.242,20.167,12.145,4.149,15.772,5.440,5.091,47.098,10.771,7.935,10.663,26.044,39.242,309.520
Mei,87.930,15.435,18.914,11.967,4.487,16.489,5.566,5.024,47.877,10.712,7.976,10.127,26.444,40.572,327.067
Juni,89.370,16.602,23.137,12.838,4.215,14.497,4.574,5.353,53.772,9.899,7.647,12.876,28.437,43.850,318.179
Juli,93.312,16.907,20.334,11.981,4.196,14.986,4.264,5.304,47.129,10.557,8.249,10.961,26.031,43.968,348.621
Agustus,96.255,15.765,31.050,15.029,5.089,17.716,3.980,4.523,53.979,10.120,7.875,12.229,28.539,46.472,355.109
September,96.353,18.270,31.401,15.248,4.508,16.757,4.545,6.693,49.166,12.321,8.993,11.920,31.041,47.893,345.791
Oktober,90.453,20.437,29.870,14.430,4.209,15.628,9.082,5.478,50.759,12.895,8.423,10.815,28.838,44.474,347.914
November,98.318,16.826,30.138,14.527,4.625,15.587,6.804,6.454,48.806,13.436,8.911,11.758,27.823,43.901,349.682
Desember,98.183,18.915,28.865,13.980,4.708,15.675,6.347,5.243,50.312,13.027,8.416,11.413,31.562,43.036,345.212
Januari,97.758,17.554,29.505,15.278,4.590,15.328,5.598,5.290,48.073,11.818,8.972,12.241,29.301,43.906,329.360
Februari,97.873,16.811,25.825,13.405,4.219,15.037,4.898,4.369,46.393,11.413,8.136,11.640,26.084,43.257,335.249
Maret,98.104,18.210,26.303,14.036,4.457,14.897,5.164,5.280,46.639,12.217,8.869,11.329,29.956,39.788,352.628
April,101.583,18.346,25.639,13.262,5.083,13.922,5.764,6.608,52.640,12.981,9.349,12.742,30.119,45.590,372.514
Mei,104.221,24.106,27.373,14.962,4.798,18.645,6.334,6.410,50.835,13.602,10.938,12.570,32.287,45.433,363.797
Juni,101.339,22.925,27.300,13.423,4.768,16.438,5.150,5.782,52.400,11.399,9.590,13.334,33.320,46.629,363.797
